Team,team_name,team_conf,Color,logo,team_wordmark,team_logo_squared
ARI,Arizona Cardinals,NFC,#97233F,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ARI.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ARI.png
ATL,Atlanta Falcons,NFC,#A71930,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/ATL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/ATL.png
BAL,Baltimore Ravens,AFC,#241773,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BAL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BAL.png
BUF,Buffalo Bills,AFC,#00338D,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/BUF.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/BUF.png
CAR,Carolina Panthers,NFC,#0085CA,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CAR.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CAR.png
CHI,Chicago Bears,NFC,#0B162A,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CHI.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CHI.png
CIN,Cincinnati Bengals,AFC,#FB4F14,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CIN.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CIN.png
CLE,Cleveland Browns,AFC,#FF3C00,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CLE.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CLE.png
DAL,Dallas Cowboys,NFC,#002244,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DAL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DAL.png
DEN,Denver Broncos,AFC,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DEN.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DEN.png
DET,Detroit Lions,NFC,#0076B6,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/DET.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/DET.png
GB,Green Bay Packers,NFC,#203731,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/GB.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/GB.png
HOU,Houston Texans,AFC,#A71930,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/HOU.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/HOU.png
IND,Indianapolis Colts,AFC,#002C5F,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/IND.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/IND.png
JAX,Jacksonville Jaguars,AFC,#006778,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/JAX.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/JAX.png
KC,Kansas City Chiefs,AFC,#E31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/KC.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/KC.png
LAC,Los Angeles Chargers,AFC,#007BC7,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAC.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LAC.png
LAR,Los Angeles Rams,NFC,#003594,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAR.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LAR.png
LV,Las Vegas Raiders,AFC,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LV.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LV.png
MIA,Miami Dolphins,AFC,#008E97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIA.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIA.png
MIN,Minnesota Vikings,NFC,#4F2683,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIN.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIN.png
NE,New England Patriots,AFC,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NE.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NE.png
NO,New Orleans Saints,NFC,#D3BC8D,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NO.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NO.png
NYG,New York Giants,NFC,#0B2265,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/New_York_Giants_logo.svg/100px-New_York_Giants_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYG.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYG.png
NYJ,New York Jets,AFC,#003F2D,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYJ.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYJ.png
PHI,Philadelphia Eagles,NFC,#004C54,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PHI.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/PHI.png
PIT,Pittsburgh Steelers,AFC,#FFB612,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PIT.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/PIT.png
SD,San Diego Chargers,AFC,#007BC7,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SD.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SD.png
SEA,Seattle Seahawks,NFC,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SEA.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SEA.png
SF,San Francisco 49ers,NFC,#AA0000,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SF.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SF.png
STL,St. Louis Rams,NFC,#003594,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/STL.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/STL.png
TB,Tampa Bay Buccaneers,NFC,#A71930,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Tampa_Bay_Buccaneers_logo.svg/100px-Tampa_Bay_Buccaneers_logo.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TB.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/TB.png
TEN,Tennessee Titans,AFC,#002244,https://github.com/nflverse/nflverse-pbp/raw/master/titans.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/TEN.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/TEN.png
WAS,Washington Commanders,NFC,#5A1414,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Washington_commanders.svg/100px-Washington_commanders.svg.png,https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/WAS.png,https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/WAS.png
